sentences,Model,answer_AI,answer_AUTISM,rater,Authenticity,AI,AUTISM
1,deepseek-chat,1,0,anan,8,0,0
2,deepseek-chat,1,0,anan,8,0,0
3,real-autism,0,1,anan,7,0,0
4,deepseek-chat,1,1,anan,6,1,1
5,deepseek-chat,1,0,anan,7,0,0
6,deepseek-chat,1,0,anan,5,1,0
7,real-autism,0,1,anan,8,0,1
8,real-children,0,0,anan,8,0,0
9,deepseek-chat,1,0,anan,7,0,0
10,deepseek-chat,1,1,anan,3,1,1
11,real-autism,0,1,anan,7,1,1
12,gpt-4o-mini,1,0,anan,5,1,0
13,deepseek-reasoner,1,1,anan,2,1,1
14,deepseek-reasoner,1,1,anan,6,1,1
15,real-autism,0,1,anan,6,1,0
16,deepseek-reasoner,1,1,anan,7,1,1
17,deepseek-reasoner,1,1,anan,5,1,0
18,charglm,1,0,anan,8,0,0
19,deepseek-chat,1,1,anan,8,0,1
20,gpt-4o-mini,1,1,anan,4,1,1
21,gpt-4o-mini,1,0,anan,7,0,0
22,deepseek-chat,1,1,anan,4,1,1
23,real-children,0,0,anan,8,0,0
24,deepseek-chat,1,1,anan,4,0,1
25,charglm,1,1,anan,3,1,1
26,deepseek-reasoner,1,0,anan,8,0,0
27,charglm,1,0,anan,8,1,0
28,deepseek-reasoner,1,1,anan,6,1,1
29,gpt-4o-mini,1,1,anan,6,1,1
30,deepseek-reasoner,1,0,anan,7,1,0
31,real-children,0,0,anan,6,0,0
32,deepseek-reasoner,1,0,anan,7,0,0
33,gpt-4o-mini,1,0,anan,7,1,0
34,charglm,1,1,anan,5,1,0
35,real-autism,0,1,anan,3,1,1
36,real-children,0,0,anan,8,0,0
37,deepseek-reasoner,1,0,anan,8,0,0
38,real-children,0,0,anan,7,0,0
39,charglm,1,0,anan,8,1,0
40,real-children,0,0,anan,7,0,0
41,charglm,1,1,anan,4,1,1
42,real-children,0,0,anan,9,0,0
43,deepseek-reasoner,1,0,anan,7,1,0
44,gpt-4o-mini,1,1,anan,5,1,0
45,real-autism,0,1,anan,6,1,1
46,gpt-4o-mini,1,0,anan,5,1,0
47,charglm,1,0,anan,7,0,0
48,real-autism,0,1,anan,8,0,1
49,real-children,0,0,anan,8,0,0
50,gpt-4o-mini,1,1,anan,3,1,1
51,real-autism,0,1,anan,7,0,1
52,charglm,1,0,anan,7,1,0
53,real-children,0,0,anan,7,0,0
54,real-autism,0,1,anan,8,1,0
55,gpt-4o-mini,1,1,anan,5,1,1
56,charglm,1,1,anan,6,1,1
57,real-children,0,0,anan,7,0,1
58,gpt-4o-mini,1,0,anan,6,1,0
59,charglm,1,1,anan,6,1,0
60,real-autism,0,1,anan,8,0,0
1,deepseek-chat,1,0,tt,7,1,0
2,deepseek-chat,1,0,tt,10,0,0
3,real-autism,0,1,tt,1,1,1
4,deepseek-chat,1,1,tt,1,1,1
5,deepseek-chat,1,0,tt,8,0,0
6,deepseek-chat,1,0,tt,4,1,0
7,real-autism,0,1,tt,1,1,1
8,real-children,0,0,tt,10,0,1
9,deepseek-chat,1,0,tt,3,1,0
10,deepseek-chat,1,1,tt,1,1,1
11,real-autism,0,1,tt,4,1,1
12,gpt-4o-mini,1,0,tt,5,1,1
13,deepseek-reasoner,1,1,tt,1,1,1
14,deepseek-reasoner,1,1,tt,1,1,1
15,real-autism,0,1,tt,9,0,0
16,deepseek-reasoner,1,1,tt,1,1,1
17,deepseek-reasoner,1,1,tt,1,1,1
18,charglm,1,0,tt,10,0,0
19,deepseek-chat,1,1,tt,3,1,1
20,gpt-4o-mini,1,1,tt,3,1,0
21,gpt-4o-mini,1,0,tt,4,1,0
22,deepseek-chat,1,1,tt,3,1,0
23,real-children,0,0,tt,10,0,1
24,deepseek-chat,1,1,tt,2,1,1
25,charglm,1,1,tt,5,1,1
26,deepseek-reasoner,1,0,tt,9,0,1
27,charglm,1,0,tt,10,0,0
28,deepseek-reasoner,1,1,tt,1,1,0
29,gpt-4o-mini,1,1,tt,4,1,1
30,deepseek-reasoner,1,0,tt,5,1,0
31,real-children,0,0,tt,9,0,1
32,deepseek-reasoner,1,0,tt,4,1,0
33,gpt-4o-mini,1,0,tt,4,1,0
34,charglm,1,1,tt,2,1,0
35,real-autism,0,1,tt,5,1,1
36,real-children,0,0,tt,4,1,0
37,deepseek-reasoner,1,0,tt,5,1,0
38,real-children,0,0,tt,10,0,0
39,charglm,1,0,tt,8,0,0
40,real-children,0,0,tt,10,0,0
41,charglm,1,1,tt,4,1,1
42,real-children,0,0,tt,10,0,0
43,deepseek-reasoner,1,0,tt,5,1,0
44,gpt-4o-mini,1,1,tt,4,1,1
45,real-autism,0,1,tt,6,1,1
46,gpt-4o-mini,1,0,tt,8,0,1
47,charglm,1,0,tt,4,1,0
48,real-autism,0,1,tt,8,0,1
49,real-children,0,0,tt,8,0,0
50,gpt-4o-mini,1,1,tt,2,1,1
51,real-autism,0,1,tt,10,0,1
52,charglm,1,0,tt,5,1,0
53,real-children,0,0,tt,6,0,0
54,real-autism,0,1,tt,5,1,0
55,gpt-4o-mini,1,1,tt,2,1,1
56,charglm,1,1,tt,8,0,1
57,real-children,0,0,tt,4,1,0
58,gpt-4o-mini,1,0,tt,6,1,0
59,charglm,1,1,tt,4,1,1
60,real-autism,0,1,tt,6,0,1
1,deepseek-chat,1,0,ljb,8,0,0
2,deepseek-chat,1,0,ljb,9,0,0
3,real-autism,0,1,ljb,5,1,1
4,deepseek-chat,1,1,ljb,2,1,1
5,deepseek-chat,1,0,ljb,8,0,0
6,deepseek-chat,1,0,ljb,8,0,0
7,real-autism,0,1,ljb,3,1,1
8,real-children,0,0,ljb,5,1,0
9,deepseek-chat,1,0,ljb,8,1,0
10,deepseek-chat,1,1,ljb,6,1,1
11,real-autism,0,1,ljb,7,0,0
12,gpt-4o-mini,1,0,ljb,7,1,0
13,deepseek-reasoner,1,1,ljb,3,1,0
14,deepseek-reasoner,1,1,ljb,6,0,1
15,real-autism,0,1,ljb,9,0,0
16,deepseek-reasoner,1,1,ljb,6,0,1
17,deepseek-reasoner,1,1,ljb,3,1,1
18,charglm,1,0,ljb,8,0,0
19,deepseek-chat,1,1,ljb,7,0,1
20,gpt-4o-mini,1,1,ljb,7,1,0
21,gpt-4o-mini,1,0,ljb,8,0,0
22,deepseek-chat,1,1,ljb,8,0,1
23,real-children,0,0,ljb,9,0,0
24,deepseek-chat,1,1,ljb,9,0,1
25,charglm,1,1,ljb,10,0,1
26,deepseek-reasoner,1,0,ljb,8,0,0
27,charglm,1,0,ljb,7,0,0
28,deepseek-reasoner,1,1,ljb,7,0,1
29,gpt-4o-mini,1,1,ljb,6,1,0
30,deepseek-reasoner,1,0,ljb,9,0,0
31,real-children,0,0,ljb,7,0,0
32,deepseek-reasoner,1,0,ljb,8,1,0
33,gpt-4o-mini,1,0,ljb,8,1,0
34,charglm,1,1,ljb,8,1,0
35,real-autism,0,1,ljb,6,0,1
36,real-children,0,0,ljb,8,0,0
37,deepseek-reasoner,1,0,ljb,8,0,0
38,real-children,0,0,ljb,7,0,0
39,charglm,1,0,ljb,8,0,0
40,real-children,0,0,ljb,10,0,0
41,charglm,1,1,ljb,9,1,1
42,real-children,0,0,ljb,9,0,0
43,deepseek-reasoner,1,0,ljb,8,0,1
44,gpt-4o-mini,1,1,ljb,7,1,0
45,real-autism,0,1,ljb,8,0,1
46,gpt-4o-mini,1,0,ljb,7,1,0
47,charglm,1,0,ljb,7,1,0
48,real-autism,0,1,ljb,5,0,1
49,real-children,0,0,ljb,8,0,0
50,gpt-4o-mini,1,1,ljb,4,1,1
51,real-autism,0,1,ljb,9,0,0
52,charglm,1,0,ljb,9,0,0
53,real-children,0,0,ljb,9,0,0
54,real-autism,0,1,ljb,7,0,1
55,gpt-4o-mini,1,1,ljb,8,0,1
56,charglm,1,1,ljb,9,0,1
57,real-children,0,0,ljb,8,0,0
58,gpt-4o-mini,1,0,ljb,8,1,0
59,charglm,1,1,ljb,7,1,0
60,real-autism,0,1,ljb,8,0,0
1,deepseek-chat,1,0,jyn,10,0,0
2,deepseek-chat,1,0,jyn,10,1,1
3,real-autism,0,1,jyn,1,1,1
4,deepseek-chat,1,1,jyn,2,1,1
5,deepseek-chat,1,0,jyn,10,0,0
6,deepseek-chat,1,0,jyn,10,1,0
7,real-autism,0,1,jyn,10,0,1
8,real-children,0,0,jyn,10,0,1
9,deepseek-chat,1,0,jyn,10,1,0
10,deepseek-chat,1,1,jyn,3,1,1
11,real-autism,0,1,jyn,3,1,1
12,gpt-4o-mini,1,0,jyn,10,1,0
13,deepseek-reasoner,1,1,jyn,2,1,1
14,deepseek-reasoner,1,1,jyn,1,1,1
15,real-autism,0,1,jyn,8,0,1
16,deepseek-reasoner,1,1,jyn,1,1,1
17,deepseek-reasoner,1,1,jyn,1,1,1
18,charglm,1,0,jyn,10,0,0
19,deepseek-chat,1,1,jyn,1,1,1
20,gpt-4o-mini,1,1,jyn,3,1,1
21,gpt-4o-mini,1,0,jyn,10,1,0
22,deepseek-chat,1,1,jyn,3,1,1
23,real-children,0,0,jyn,10,1,0
24,deepseek-chat,1,1,jyn,7,1,1
25,charglm,1,1,jyn,10,0,1
26,deepseek-reasoner,1,0,jyn,10,0,0
27,charglm,1,0,jyn,10,1,0
28,deepseek-reasoner,1,1,jyn,1,1,1
29,gpt-4o-mini,1,1,jyn,1,1,1
30,deepseek-reasoner,1,0,jyn,10,1,1
31,real-children,0,0,jyn,10,0,1
32,deepseek-reasoner,1,0,jyn,10,1,0
33,gpt-4o-mini,1,0,jyn,10,0,0
34,charglm,1,1,jyn,6,1,1
35,real-autism,0,1,jyn,2,1,1
36,real-children,0,0,jyn,10,0,0
37,deepseek-reasoner,1,0,jyn,10,1,0
38,real-children,0,0,jyn,10,0,1
39,charglm,1,0,jyn,10,1,1
40,real-children,0,0,jyn,10,0,0
41,charglm,1,1,jyn,7,1,1
42,real-children,0,0,jyn,10,0,0
43,deepseek-reasoner,1,0,jyn,10,0,0
44,gpt-4o-mini,1,1,jyn,10,1,1
45,real-autism,0,1,jyn,10,0,1
46,gpt-4o-mini,1,0,jyn,10,1,1
47,charglm,1,0,jyn,10,1,0
48,real-autism,0,1,jyn,10,0,1
49,real-children,0,0,jyn,10,0,0
50,gpt-4o-mini,1,1,jyn,3,1,1
51,real-autism,0,1,jyn,10,1,1
52,charglm,1,0,jyn,10,0,0
53,real-children,0,0,jyn,10,0,0
54,real-autism,0,1,jyn,10,0,0
55,gpt-4o-mini,1,1,jyn,10,1,1
56,charglm,1,1,jyn,10,1,1
57,real-children,0,0,jyn,10,1,1
58,gpt-4o-mini,1,0,jyn,10,1,0
59,charglm,1,1,jyn,4,1,1
60,real-autism,0,1,jyn,10,0,1
1,deepseek-chat,1,0,sx,4,1,0
2,deepseek-chat,1,0,sx,8,0,0
3,real-autism,0,1,sx,7,0,0
4,deepseek-chat,1,1,sx,3,1,1
5,deepseek-chat,1,0,sx,10,0,0
6,deepseek-chat,1,0,sx,5,0,0
7,real-autism,0,1,sx,4,0,1
8,real-children,0,0,sx,10,0,0
9,deepseek-chat,1,0,sx,10,0,0
10,deepseek-chat,1,1,sx,8,0,1
11,real-autism,0,1,sx,9,0,1
12,gpt-4o-mini,1,0,sx,9,0,1
13,deepseek-reasoner,1,1,sx,6,1,1
14,deepseek-reasoner,1,1,sx,8,0,1
15,real-autism,0,1,sx,10,0,0
16,deepseek-reasoner,1,1,sx,4,1,1
17,deepseek-reasoner,1,1,sx,4,1,1
18,charglm,1,0,sx,10,0,0
19,deepseek-chat,1,1,sx,7,0,1
20,gpt-4o-mini,1,1,sx,6,0,0
21,gpt-4o-mini,1,0,sx,6,0,0
22,deepseek-chat,1,1,sx,8,0,1
23,real-children,0,0,sx,9,0,0
24,deepseek-chat,1,1,sx,8,0,1
25,charglm,1,1,sx,8,0,0
26,deepseek-reasoner,1,0,sx,9,0,0
27,charglm,1,0,sx,9,0,0
28,deepseek-reasoner,1,1,sx,5,1,1
29,gpt-4o-mini,1,1,sx,7,0,1
30,deepseek-reasoner,1,0,sx,10,0,0
31,real-children,0,0,sx,10,0,0
32,deepseek-reasoner,1,0,sx,10,0,0
33,gpt-4o-mini,1,0,sx,10,0,0
34,charglm,1,1,sx,10,0,0
35,real-autism,0,1,sx,10,0,1
36,real-children,0,0,sx,10,0,0
37,deepseek-reasoner,1,0,sx,10,0,0
38,real-children,0,0,sx,10,0,0
39,charglm,1,0,sx,10,0,0
40,real-children,0,0,sx,10,0,0
41,charglm,1,1,sx,10,0,1
42,real-children,0,0,sx,10,0,0
43,deepseek-reasoner,1,0,sx,10,0,0
44,gpt-4o-mini,1,1,sx,10,0,0
45,real-autism,0,1,sx,10,0,0
46,gpt-4o-mini,1,0,sx,10,0,0
47,charglm,1,0,sx,10,0,0
48,real-autism,0,1,sx,10,0,1
49,real-children,0,0,sx,10,0,0
50,gpt-4o-mini,1,1,sx,7,1,0
51,real-autism,0,1,sx,10,0,0
52,charglm,1,0,sx,10,0,0
53,real-children,0,0,sx,10,0,0
54,real-autism,0,1,sx,8,0,0
55,gpt-4o-mini,1,1,sx,10,0,0
56,charglm,1,1,sx,10,0,0
57,real-children,0,0,sx,9,0,0
58,gpt-4o-mini,1,0,sx,10,0,0
59,charglm,1,1,sx,10,0,0
60,real-autism,0,1,sx,10,0,0
